geoid,2012_population,2012_hispanic,2012_non_hispanic,2012_his_perc,2012_not_hispanic_prec,2012_median_income,2012_density,2013_population,2013_hispanic,2013_non_hispanic,2013_his_perc,2013_not_hispanic_prec,2013_median_income,2013_density,2014_population,2014_hispanic,2014_non_hispanic,2014_his_perc,2014_not_hispanic_prec,2014_median_income,2014_density,2015_population,2015_hispanic,2015_non_hispanic,2015_his_perc,2015_not_hispanic_prec,2015_median_income,2015_density,2016_population,2016_hispanic,2016_non_hispanic,2016_his_perc,2016_not_hispanic_prec,2016_median_income,2016_density,2017_population,2017_hispanic,2017_non_hispanic,2017_his_perc,2017_not_hispanic_prec,2017_median_income,2017_density,2018_population,2018_hispanic,2018_non_hispanic,2018_his_perc,2018_not_hispanic_prec,2018_median_income,2018_density,2019_population,2019_hispanic,2019_non_hispanic,2019_his_perc,2019_not_hispanic_prec,2019_median_income,2019_density,2020_population,2020_hispanic,2020_non_hispanic,2020_his_perc,2020_not_hispanic_prec,2020_median_income,2020_density,2021_population,2021_hispanic,2021_non_hispanic,2021_his_perc,2021_not_hispanic_prec,2021_median_income,2021_density,2022_population,2022_hispanic,2022_non_hispanic,2022_his_perc,2022_not_hispanic_prec,2022_median_income,2022_density
480291507003,557.0,7,517,0.014,0.986,33323.0,2011.09169,574.0,10,514,0.019,0.981,34435.0,2072.47151,563.0,34,490,0.064,0.936,34145.0,2032.75516,540.0,13,511,0.025,0.975,34375.0,1949.71188,552.0,42,482,0.081,0.919,33694.0,1993.03881,613.0,12,512,0.023,0.977,32833.0,2213.28404,596.0,46,478,0.087,0.913,34024.0,2151.90422,571.0,21,503,0.041,0.959,34229.0,2061.63978,588.0,46,478,0.087,0.913,33117.0,2123.0196,553.0,47,477,0.089,0.911,33093.0,1996.64938,524.0,0.0,524.0,0.0,1.0,33683.0,1891.94264
480291507004,1092.0,193,850,0.1852,0.8148,49907.0,2258.81185,1131.0,178,865,0.1702,0.8298,50590.0,2339.4837,1112.0,162,881,0.1552,0.8448,50408.0,2300.18203,1088.0,150,893,0.1442,0.8558,50282.0,2250.53781,1054.0,158,885,0.1512,0.8488,50135.0,2180.20851,1112.0,141,902,0.1352,0.8648,50129.0,2300.18203,1101.0,136,907,0.1302,0.8698,51255.0,2277.42843,1123.0,120,923,0.1152,0.8848,49543.0,2322.93563,1055.0,105,938,0.1002,0.8998,50396.0,2182.27701,1140.0,140,903,0.1342,0.8658,49766.0,2358.10028,1043.0,91.0,952.0,0.0872,0.9128,50380.0,2157.45491
480291508001,1616.0,241,1276,0.159,0.841,19495.0,1789.4773,1585.0,311,1206,0.205,0.795,18391.0,1755.14945,1577.0,226,1291,0.149,0.851,18453.0,1746.29065,1562.0,220,1297,0.145,0.855,18877.0,1729.68041,1607.0,293,1224,0.193,0.807,19464.0,1779.51115,1606.0,279,1238,0.184,0.816,19455.0,1778.4038,1606.0,240,1277,0.158,0.842,19815.0,1778.4038,1614.0,223,1294,0.147,0.853,18731.0,1787.2626,1549.0,323,1194,0.213,0.787,18656.0,1715.28486,1580.0,200,1317,0.132,0.868,18331.0,1749.6127,1517.0,176.0,1341.0,0.116,0.884,18940.0,1679.84967
480291508003,950.0,117,807,0.1268,0.8732,12009.0,882.25024,985.0,118,806,0.1278,0.8722,12865.0,914.7542,1017.0,116,808,0.1258,0.8742,12940.0,944.4721,979.0,136,788,0.1468,0.8532,12550.0,909.18209,935.0,123,801,0.1328,0.8672,12176.0,868.31997,1010.0,137,787,0.1488,0.8512,13118.0,937.97131,1014.0,135,789,0.1458,0.8542,13198.0,941.68605,968.0,73,851,0.0788,0.9212,12876.0,898.96656,981.0,75,849,0.0808,0.9192,13592.0,911.03946,1020.0,100,824,0.1078,0.8922,13837.0,947.25815,924.0,46.0,878.0,0.0498,0.9502,12925.0,858.10444
480291509004,1427.0,588,783,0.429,0.571,55418.0,2200.54404,1461.0,546,825,0.398,0.602,54905.0,2252.97467,1457.0,620,751,0.452,0.548,56004.0,2246.80636,1432.0,548,823,0.4,0.6,55919.0,2208.25443,1422.0,551,820,0.402,0.598,55716.0,2192.83366,1386.0,588,783,0.429,0.571,54700.0,2137.31888,1446.0,618,753,0.451,0.549,55817.0,2229.84351,1416.0,602,769,0.439,0.561,54383.0,2183.5812,1417.0,588,783,0.429,0.571,54439.0,2185.12327,1418.0,587,784,0.428,0.572,55063.0,2186.66535,1371.0,499.0,872.0,0.364,0.636,55324.0,2114.18773
480291509003,1621.0,327,1257,0.2065,0.7935,29653.0,2557.25829,1611.0,333,1251,0.2105,0.7895,29321.0,2541.48248,1651.0,273,1311,0.1725,0.8275,28703.0,2604.58571,1638.0,302,1282,0.1905,0.8095,28350.0,2584.07716,1631.0,275,1309,0.1735,0.8265,28045.0,2573.0341,1675.0,268,1316,0.1695,0.8305,28953.0,2642.44765,1681.0,379,1205,0.2395,0.7605,29493.0,2651.91313,1659.0,322,1262,0.2035,0.7965,28759.0,2617.20636,1602.0,375,1209,0.2365,0.7635,29067.0,2527.28426,1670.0,346,1238,0.2185,0.7815,29501.0,2634.55974,1584.0,251.0,1333.0,0.1585,0.8415,28713.0,2498.88781
480291510001,625.0,120,425,0.2194,0.7806,29215.0,1785.33171,611.0,91,454,0.1674,0.8326,29849.0,1745.34028,569.0,100,445,0.1844,0.8156,30595.0,1625.36599,592.0,124,421,0.2284,0.7716,30104.0,1691.0662,627.0,102,443,0.1874,0.8126,30478.0,1791.04478,586.0,119,426,0.2184,0.7816,29342.0,1673.92702,637.0,129,416,0.2364,0.7636,29505.0,1819.61008,561.0,124,421,0.2284,0.7716,30849.0,1602.51375,556.0,114,431,0.2084,0.7916,29323.0,1588.23109,594.0,116,429,0.2134,0.7866,30636.0,1696.77926,545.0,76.0,469.0,0.1394,0.8606,29962.0,1556.80925
480291510002,1932.0,80,1774,0.0432,0.9568,0,3377.27993,1893.0,138,1716,0.0742,0.9258,0,3309.10502,1897.0,113,1741,0.0612,0.9388,0,3316.09732,1875.0,108,1746,0.0582,0.9418,0,3277.63968,1904.0,184,1670,0.0992,0.9008,0,3328.33384,1873.0,184,1670,0.0992,0.9008,0,3274.14353,1911.0,173,1681,0.0932,0.9068,0,3340.57036,1937.0,188,1666,0.1012,0.8988,0,3386.0203,1915.0,154,1700,0.0832,0.9168,0,3347.56266,1876.0,86,1768,0.0462,0.9538,0,3279.38775,1854.0,56.0,1798.0,0.0302,0.9698,0.0,3240.93012
480291719201,3365.0,821,2532,0.245,0.755,88102.0,2546.40858,3430.0,946,2407,0.282,0.718,87957.0,2595.59626,3431.0,1009,2344,0.301,0.699,87899.0,2596.353,3366.0,1060,2293,0.316,0.684,87478.0,2547.16531,3375.0,1013,2340,0.302,0.698,87984.0,2553.97592,3430.0,946,2407,0.282,0.718,87893.0,2595.59626,3417.0,1003,2350,0.299,0.701,88345.0,2585.75873,3387.0,999,2354,0.298,0.702,88144.0,2563.05672,3372.0,865,2488,0.258,0.742,88534.0,2551.70572,3435.0,1046,2307,0.312,0.688,88712.0,2599.37993,3353.0,731.0,2622.0,0.218,0.782,88254.0,2537.32778
480291719212,3798.0,2097,1614,0.5651,0.4349,100530.0,6014.2994,3799.0,2093,1618,0.5641,0.4359,101001.0,6015.88294,3727.0,1822,1889,0.4911,0.5089,101880.0,5901.86779,3786.0,1856,1855,0.5001,0.4999,101746.0,5995.29687,3800.0,2082,1629,0.5611,0.4389,101419.0,6017.46649,3794.0,1923,1788,0.5181,0.4819,100585.0,6007.96523,3763.0,2049,1662,0.5521,0.4479,100472.0,5958.87537,3779.0,1874,1837,0.5051,0.4949,101685.0,5984.21207,3746.0,1923,1788,0.5181,0.4819,100866.0,5931.95512,3755.0,2041,1670,0.5501,0.4499,101033.0,5946.20702,3711.0,1752.0,1959.0,0.4721,0.5279,100938.0,5876.53109
480291719161,5638.0,2242,3369,0.3995,0.6005,119666.0,1679.21311,5642.0,2298,3313,0.4095,0.5905,119515.0,1680.40446,5703.0,2427,3184,0.4325,0.5675,119688.0,1698.57261,5682.0,2348,3263,0.4185,0.5815,119246.0,1692.318,5667.0,2298,3313,0.4095,0.5905,119584.0,1687.85043,5644.0,2410,3201,0.4295,0.5705,120344.0,1681.00014,5706.0,2214,3397,0.3945,0.6055,120077.0,1699.46612,5635.0,2129,3482,0.3795,0.6205,119220.0,1678.3196,5651.0,2511,3100,0.4475,0.5525,120706.0,1683.08501,5633.0,2556,3055,0.4555,0.5445,119957.0,1677.72392,5611.0,2051.0,3560.0,0.3655,0.6345,119719.0,1671.17147
480291719151,1628.0,597,943,0.3879,0.6121,79068.0,1558.87332,1638.0,554,986,0.3599,0.6401,79186.0,1568.44871,1633.0,508,1032,0.3299,0.6701,79655.0,1563.66102,1617.0,520,1020,0.3379,0.6621,79167.0,1548.34039,1614.0,545,995,0.3539,0.6461,79414.0,1545.46778,1625.0,494,1046,0.3209,0.6791,79399.0,1556.0007,1577.0,593,947,0.3849,0.6151,79496.0,1510.03884,1610.0,548,992,0.3559,0.6441,78568.0,1541.63762,1620.0,591,949,0.3839,0.6161,78692.0,1551.21301,1602.0,605,935,0.3929,0.6071,78394.0,1533.97731,1540.0,465.0,1075.0,0.3019,0.6981,79115.0,1474.6099
480291719142,2234.0,841,1355,0.3831,0.6169,84220.0,2649.21709,2278.0,769,1427,0.3501,0.6499,83578.0,2701.39505,2282.0,775,1421,0.3531,0.6469,83461.0,2706.1385,2247.0,843,1353,0.3841,0.6159,85163.0,2664.63331,2214.0,808,1388,0.3681,0.6319,84589.0,2625.49984,2210.0,833,1363,0.3791,0.6209,84626.0,2620.75639,2207.0,749,1447,0.3411,0.6589,84212.0,2617.1988,2234.0,738,1458,0.3361,0.6639,84003.0,2649.21709,2238.0,764,1432,0.3481,0.6519,84119.0,2653.96054,2264.0,767,1429,0.3491,0.6509,84324.0,2684.79297,2196.0,681.0,1515.0,0.3101,0.6899,84279.0,2604.15431
480291818221,1285.0,577,628,0.4787,0.5213,66634.0,808.96777,1270.0,550,655,0.4567,0.5433,66544.0,799.52457,1235.0,573,632,0.4757,0.5243,65551.0,777.49042,1273.0,524,681,0.4347,0.5653,65090.0,801.41321,1268.0,546,659,0.4527,0.5473,66479.0,798.26547,1302.0,585,620,0.4857,0.5143,66299.0,819.67007,1280.0,521,684,0.4327,0.5673,65837.0,805.82004,1291.0,496,709,0.4117,0.5883,66429.0,812.74505,1247.0,553,652,0.4587,0.5413,65911.0,785.04499,1289.0,562,643,0.4667,0.5333,66279.0,811.48596,1205.0,466.0,739.0,0.3867,0.6133,65833.0,758.60402
480291818223,2059.0,940,1047,0.4733,0.5267,47240.0,2557.32875,2044.0,946,1041,0.4763,0.5237,45986.0,2538.69838,2084.0,1032,955,0.5193,0.4807,45897.0,2588.37937,2042.0,962,1025,0.4843,0.5157,46189.0,2536.21433,2015.0,913,1074,0.4593,0.5407,47350.0,2502.67967,2048.0,952,1035,0.4793,0.5207,46861.0,2543.66648,2063.0,978,1009,0.4923,0.5077,47411.0,2562.29685,2014.0,917,1070,0.4613,0.5387,47280.0,2501.43764,2051.0,901,1086,0.4533,0.5467,47160.0,2547.39256,2037.0,1052,935,0.5293,0.4707,47631.0,2530.00421,1987.0,867.0,1120.0,0.4363,0.5637,46750.0,2467.90298
480291818231,3151.0,1864,1201,0.6083,0.3917,74245.0,1550.17174,3126.0,1727,1338,0.5633,0.4367,73052.0,1537.8727,3128.0,1864,1201,0.6083,0.3917,74244.0,1538.85662,3154.0,1720,1345,0.5613,0.4387,73797.0,1551.64763,3158.0,1886,1179,0.6153,0.3847,74653.0,1553.61548,3141.0,1883,1182,0.6143,0.3857,73071.0,1545.25213,3103.0,1840,1225,0.6003,0.3997,74734.0,1526.55758,3127.0,1883,1182,0.6143,0.3857,73890.0,1538.36466,3148.0,1953,1112,0.6373,0.3627,73266.0,1548.69586,3155.0,1901,1164,0.6203,0.3797,73545.0,1552.13959,3065.0,1656.0,1409.0,0.5403,0.4597,73790.0,1507.86303
480291217011,2162.0,978,1097,0.4713,0.5287,81938.0,2492.28797,2169.0,959,1116,0.4623,0.5377,81252.0,2500.35736,2128.0,905,1170,0.4363,0.5637,82336.0,2453.0938,2163.0,889,1186,0.4283,0.5717,81315.0,2493.44074,2167.0,1034,1041,0.4983,0.5017,82334.0,2498.05182,2162.0,872,1203,0.4203,0.5797,82273.0,2492.28797,2094.0,905,1170,0.4363,0.5637,81732.0,2413.89964,2146.0,959,1116,0.4623,0.5377,82291.0,2473.84366,2139.0,978,1097,0.4713,0.5287,82414.0,2465.77427,2100.0,1015,1060,0.4893,0.5107,81879.0,2420.81625,2075.0,841.0,1234.0,0.4053,0.5947,82096.0,2391.99701
480291217013,1009.0,731,268,0.7316,0.2684,67143.0,1902.95854,1009.0,689,310,0.6896,0.3104,66887.0,1902.95854,1036.0,706,293,0.7066,0.2934,66395.0,1953.88013,1030.0,674,325,0.6746,0.3254,67597.0,1942.56422,1037.0,713,286,0.7136,0.2864,65855.0,1955.76612,1089.0,668,331,0.6686,0.3314,66630.0,2053.83732,1037.0,674,325,0.6746,0.3254,65911.0,1955.76612,1074.0,734,265,0.7346,0.2654,66467.0,2025.54755,1085.0,733,266,0.7336,0.2664,67249.0,2046.29338,1075.0,717,282,0.7176,0.2824,67131.0,2027.43353,999.0,641.0,358.0,0.6416,0.3584,66750.0,1884.0987
480291217014,1272.0,558,628,0.4706,0.5294,68279.0,2552.32057,1229.0,559,627,0.4716,0.5284,67430.0,2466.03929,1237.0,538,648,0.4536,0.5464,68691.0,2482.09162,1256.0,616,570,0.5196,0.4804,68080.0,2520.2159,1239.0,568,618,0.4786,0.5214,68606.0,2486.1047,1275.0,569,617,0.4796,0.5204,67602.0,2558.34019,1270.0,614,572,0.5176,0.4824,69252.0,2548.30748,1279.0,596,590,0.5026,0.4974,67864.0,2566.36635,1285.0,594,592,0.5006,0.4994,67294.0,2578.4056,1279.0,609,577,0.5136,0.4864,68816.0,2566.36635,1186.0,506.0,680.0,0.4266,0.5734,68287.0,2379.75801
480291218123,476.0,265,184,0.5896,0.4104,73063.0,505.98196,461.0,300,149,0.6686,0.3314,72570.0,490.03715,485.0,302,147,0.6736,0.3264,73217.0,515.54885,527.0,286,163,0.6376,0.3624,73504.0,560.19431,488.0,267,182,0.5946,0.4054,73244.0,518.73781,513.0,298,151,0.6636,0.3364,72432.0,545.31249,512.0,298,151,0.6636,0.3364,72300.0,544.2495,465.0,272,177,0.6066,0.3934,73537.0,494.2891,507.0,288,161,0.6416,0.3584,72400.0,538.93457,508.0,297,152,0.6606,0.3394,73724.0,539.99756,449.0,258.0,191.0,0.5746,0.4254,72986.0,477.2813
480291218131,1594.0,895,646,0.5808,0.4192,89767.0,838.84318,1579.0,935,606,0.6068,0.3932,88927.0,830.94942,1568.0,924,617,0.5998,0.4002,90107.0,825.16066,1616.0,937,604,0.6078,0.3922,89815.0,850.42068,1640.0,950,591,0.6168,0.3832,89950.0,863.05069,1553.0,949,592,0.6158,0.3842,88950.0,817.26691,1627.0,886,655,0.5748,0.4252,88855.0,856.20944,1615.0,1001,540,0.6498,0.3502,89006.0,849.89443,1638.0,981,560,0.6368,0.3632,90615.0,861.99819,1570.0,944,597,0.6128,0.3872,89389.0,826.21317,1541.0,858.0,683.0,0.5568,0.4432,89821.0,810.9519
480291218022,2791.0,1390,1377,0.5023,0.4977,76747.0,2055.2313,2786.0,1310,1457,0.4733,0.5267,75864.0,2051.54941,2782.0,1440,1327,0.5203,0.4797,75739.0,2048.6039,2865.0,1451,1316,0.5243,0.4757,76748.0,2109.72328,2809.0,1512,1255,0.5463,0.4537,77291.0,2068.48611,2809.0,1534,1233,0.5543,0.4457,76876.0,2068.48611,2811.0,1384,1383,0.5003,0.4997,77382.0,2069.95887,2806.0,1326,1441,0.4793,0.5207,76405.0,2066.27698,2785.0,1514,1253,0.5473,0.4527,76165.0,2050.81304,2837.0,1346,1421,0.4863,0.5137,76443.0,2089.1047,2767.0,1271.0,1496.0,0.4593,0.5407,76547.0,2037.55823
480291218023,1990.0,1128,810,0.5823,0.4177,84987.0,648.99508,2007.0,1001,937,0.5163,0.4837,84992.0,654.53926,2002.0,1028,910,0.5303,0.4697,85184.0,652.90862,2009.0,1030,908,0.5313,0.4687,85185.0,655.19152,1994.0,1146,792,0.5913,0.4087,85341.0,650.2996,1953.0,1097,841,0.5663,0.4337,85885.0,636.92834,1964.0,1039,899,0.5363,0.4637,85585.0,640.51575,1986.0,1004,934,0.5183,0.4817,85113.0,647.69057,1957.0,1144,794,0.5903,0.4097,84806.0,638.23285,1980.0,1016,922,0.5243,0.4757,85873.0,645.7338,1938.0,954.0,984.0,0.4923,0.5077,85508.0,632.03642
480291218021,1759.0,1000,686,0.593,0.407,125647.0,645.13621,1717.0,934,752,0.554,0.446,126015.0,629.73216,1724.0,1032,654,0.612,0.388,126015.0,632.2995,1707.0,1013,673,0.601,0.399,124688.0,626.06453,1717.0,976,710,0.579,0.421,125237.0,629.73216,1697.0,995,691,0.59,0.41,125345.0,622.3969,1785.0,924,762,0.548,0.452,124962.0,654.67205,1768.0,897,789,0.532,0.468,125565.0,648.43708,1706.0,1034,652,0.613,0.387,125278.0,625.69777,1764.0,917,769,0.544,0.456,124725.0,646.97002,1686.0,875.0,811.0,0.519,0.481,125300.0,618.36251
480291218031,2085.0,1397,654,0.6812,0.3188,72766.0,2193.24313,2115.0,1469,582,0.7162,0.2838,71528.0,2224.80058,2099.0,1403,648,0.6842,0.3158,71868.0,2207.96994,2067.0,1510,541,0.7362,0.2638,71092.0,2174.30866,2079.0,1442,609,0.7032,0.2968,72616.0,2186.93164,2093.0,1383,668,0.6742,0.3258,71947.0,2201.65845,2080.0,1434,617,0.6992,0.3008,72259.0,2187.98355,2071.0,1522,529,0.7422,0.2578,72097.0,2178.51632,2136.0,1395,656,0.6802,0.3198,72168.0,2246.8908,2123.0,1407,644,0.6862,0.3138,71424.0,2233.2159,2051.0,1348.0,703.0,0.6572,0.3428,71781.0,2157.47801
480291218032,947.0,374,560,0.4002,0.5998,78457.0,1529.88939,949.0,328,606,0.3512,0.6488,77829.0,1533.12041,949.0,323,611,0.3462,0.6538,78020.0,1533.12041,1012.0,337,597,0.3612,0.6388,78216.0,1634.89763,1033.0,360,574,0.3852,0.6148,77757.0,1668.82337,1026.0,312,622,0.3342,0.6658,77625.0,1657.51479,989.0,364,570,0.3892,0.6108,78839.0,1597.74087,1019.0,381,553,0.4082,0.5918,77693.0,1646.20621,985.0,359,575,0.3842,0.6158,78914.0,1591.27882,962.0,371,563,0.3972,0.6028,78942.0,1554.12206,934.0,300.0,634.0,0.3212,0.6788,78504.0,1508.88774
480291510003,1025.0,122,870,0.1227,0.8773,40551.0,1549.00055,1051.0,148,844,0.1487,0.8513,38819.0,1588.29228,1029.0,114,878,0.1147,0.8853,39265.0,1555.04543,1072.0,124,868,0.1247,0.8753,39688.0,1620.0279,1002.0,110,882,0.1107,0.8893,39989.0,1514.24249,1040.0,158,834,0.1597,0.8403,39076.0,1571.66886,1037.0,113,879,0.1137,0.8863,39069.0,1567.1352,1031.0,116,876,0.1167,0.8833,40385.0,1558.06787,1040.0,172,820,0.1737,0.8263,40251.0,1571.66886,1039.0,172,820,0.1737,0.8263,39458.0,1570.15764,992.0,87.0,905.0,0.0877,0.9123,39609.0,1499.13029
